226,208
269,208
169,208
288,208
144,208
187,208
168,208
151,208
226,149
226,132
226,136
299,226
293,226
292,226
252,226
276,226
276,221
276,237
276,156
276,162
276,143
276,222
151,195
151,170
151,148
148,214
156,214
132,214
276,214
110,214
214,176
214,191
214,149
168,218
168,209
168,236
168,208
168,157
195,157
227,157
181,157
166,157
198,157
168,157
109,157
300,168
249,168
248,168
194,168
241,187
242,187
126,187
220,187
230,187
144,271
144,286
144,265
144,144
144,282
144,253
144,144
207,144
250,144
288,206
288,225
288,165
288,133
288,224
288,146
288,235
288,268
288,259
294,288
297,288
290,288
291,288
169,215
169,191
169,138
169,262
169,160
169,210
169,127
169,221
169,107
169,156
169,162
169,143
169,222
292,169
287,169
142,169
252,169
245,169
154,169
196,169
226,169
276,169
269,171
269,301
269,263
269,256
139,269
197,269
141,269
231,269
177,269
239,269
179,269
103,269
173,253
233,253
119,253
280,253
175,253
234,253
190,253
284,253
167,253
121,167
296,167
164,167
186,167
258,167
159,167
228,167
125,167
188,167
238,167
152,167
166,167
118,167
109,167
258,275
258,202
258,270
258,161
258,182
258,289
258,166
300,258
238,258
295,258
205,258
278,258
121,258
240,258
116,258
201,258
134,258
159,182
159,218
159,114
159,178
159,229
159,125
120,159
273,159
193,159
180,236
244,236
173,236
247,236
131,236
212,236
228,236
302,236
213,236
178,236
123,236
123,155
123,223
123,135
123,217
123,204
246,123
216,123
192,266
192,174
192,137
192,289
192,182
192,275
295,192
300,192
185,192
258,192
145,192
218,255
218,254
218,279
218,243
218,100
218,219
218,182
218,184
218,189
168,218
159,218
124,218
102,218
147,218
277,218
298,218
150,218
183,218
229,218
117,218
238,218
125,218
122,218
140,218
101,218
178,218
172,218
185,218
161,218
130,128
130,105
130,260
130,182
130,129
130,267
130,158
130,183
130,163
130,153
130,202
274,130
283,130
257,130
261,130
106,130
111,130
108,130
251,130
285,130
113,130
203,130
264,130
112,130
232,130
115,130
272,130
104,130
199,200
199,281
199,211
199,225
